,name,country,sport,g_medal,s_medal,b_medal
1769,charlotte dujardin,GBR,Equestrian,0,0,1
1770,charlotte dujardin,GBR,Equestrian,0,0,1
1771,sesenieli donu,FIJ,Rugby Sevens,0,0,1
1772,ronald levy,JAM,Athletics,0,0,1
1773,nicolas rodriguez garcia-paz,ESP,Sailing,0,0,1
1774,laura pigossi,BRA,Tennis,0,0,1
1775,joana heidrich,SUI,Beach Volleyball,0,0,1
1776,jhan marinez,DOM,Baseball/Softball,0,0,1
1777,sergey kamenskiy,ROC,Shooting,0,0,1
1778,kun bi,CHN,Sailing,0,0,1
1779,lucilla boari,ITA,Archery,0,0,1
1780,kaleigh rafter,CAN,Baseball/Softball,0,0,1
1781,dimitrij ovtcharov,GER,Table Tennis,0,0,1
1782,frank staebler,GER,Wrestling,0,0,1
1783,sreejesh parattu,IND,Hockey,0,0,1
1784,man asaad,SYR,Weightlifting,0,0,1
1785,baul an,KOR,Judo,0,0,1
1786,pablo carreno busta,ESP,Tennis,0,0,1
1787,bingjie li,CHN,Swimming,0,0,1
1788,rose lavelle,USA,Football,0,0,1
1789,maddie hinch,GBR,Hockey,0,0,1
1790,hyvin kiyeng,KEN,Athletics,0,0,1
1791,pawel fajdek,POL,Athletics,0,0,1
1792,zhenye xie,CHN,Athletics,0,0,1
1793,fernando pimenta,POR,Canoe Sprint,0,0,1
1794,jenna caira,CAN,Baseball/Softball,0,0,1
1795,casey krueger,USA,Football,0,0,1
1796,mirko zanni,ITA,Weightlifting,0,0,1
1797,sumit,IND,Hockey,0,0,1
1798,lena hentschel,GER,Diving,0,0,1
1799,kaylee mckeown,AUS,Swimming,0,0,1
1800,agustin loser,ARG,Volleyball,0,0,1
1801,daniel sarmiento melian,ESP,Handball,0,0,1
1802,dorottya szilagyi,HUN,Water Polo,0,0,1
1803,hali flickinger,USA,Swimming,0,0,1
1804,hali flickinger,USA,Swimming,0,0,1
1805,maksim nedasekau,BLR,Athletics,0,0,1
1806,matisse thybulle,AUS,Basketball,0,0,1
1807,roela radiniyavuni,FIJ,Rugby Sevens,0,0,1
1808,brian burrows,USA,Shooting,0,0,1
1809,kyle chalmers,AUS,Swimming,0,0,1
1810,kyle chalmers,AUS,Swimming,0,0,1
1811,cameron mcevoy,AUS,Swimming,0,0,1
1812,martyna trajdos,GER,Judo,0,0,1
1813,florian grengbo,FRA,Cycling Track,0,0,1
1814,ariarne titmus,AUS,Swimming,0,0,1
1815,uriel antuna,MEX,Football,0,0,1
1816,aleksandr bondar,ROC,Diving,0,0,1
1817,merel smulders,NED,Cycling BMX Racing,0,0,1
1818,viktor nagy,HUN,Water Polo,0,0,1
1819,owen wright,AUS,Surfing,0,0,1
1820,caileigh filmer,CAN,Rowing,0,0,1
1821,roldani baldwin,DOM,Baseball/Softball,0,0,1
1822,alica stuhlemmer,GER,Sailing,0,0,1
1823,ricardo angulo,MEX,Football,0,0,1
1824,hillary janssens,CAN,Rowing,0,0,1
1825,ranxin jiang,CHN,Shooting,0,0,1
1826,shira rishony,ISR,Judo,0,0,1
1827,emma jorgensen,DEN,Canoe Sprint,0,0,1
1828,emma jorgensen,DEN,Canoe Sprint,0,0,1
1829,ferran sole sala,ESP,Handball,0,0,1
1830,manpreet singh,IND,Hockey,0,0,1
1831,rahmat erwin abdullah,INA,Weightlifting,0,0,1
1832,jose diaz,DOM,Baseball/Softball,0,0,1
1833,artur davtyan,ARM,Artistic Gymnastics,0,0,1
1834,li kochman,ISR,Judo,0,0,1
1835,melissa wu,AUS,Diving,0,0,1
1836,magdalena lobnig,AUT,Rowing,0,0,1
1837,anna-maria wagner,GER,Judo,0,0,1
1838,anna-maria wagner,GER,Judo,0,0,1
1839,liam heath,GBR,Canoe Sprint,0,0,1
1840,sofya berultseva,KAZ,Karate,0,0,1
1841,luciano de cecco,ARG,Volleyball,0,0,1
1842,angel sanchez,DOM,Baseball/Softball,0,0,1
1843,ashleigh barty,AUS,Tennis,0,0,1
1844,ramon rosso,DOM,Baseball/Softball,0,0,1
1845,nikita ducarroz,SUI,Cycling BMX Freestyle,0,0,1
1846,fiona murtagh,IRL,Rowing,0,0,1
1847,karoly gabor harspataki,HUN,Karate,0,0,1
1848,romane dicko,FRA,Judo,0,0,1
1849,julie ertz,USA,Football,0,0,1
1850,hakan recber,TUR,Taekwondo,0,0,1
1851,merve coban,TUR,Karate,0,0,1
1852,bajrang bajrang,IND,Wrestling,0,0,1
1853,paul kipkemoi chelimo,USA,Athletics,0,0,1
1854,viktor minibaev,ROC,Diving,0,0,1
1855,soma vogel,HUN,Water Polo,0,0,1
1856,madelynn ann bernau,USA,Shooting,0,0,1
1857,alessia maurelli,ITA,Rhythmic Gymnastics,0,0,1
1858,bettina plank,AUT,Karate,0,0,1
1859,veronica kristiansen,NOR,Handball,0,0,1
1860,julio rodriguez,DOM,Baseball/Softball,0,0,1
1861,jeremy desplanches,SUI,Swimming,0,0,1
1862,erik heil,GER,Sailing,0,0,1
1863,asha philip,GBR,Athletics,0,0,1
1864,jessica fox,AUS,Canoe Slalom,0,0,1
1865,helen louise maroulis,USA,Wrestling,0,0,1
1866,lavena cavuru,FIJ,Rugby Sevens,0,0,1
1867,karriss artingstall,GBR,Boxing,0,0,1
1868,jane campbell,USA,Football,0,0,1
1869,bashir abdi,BEL,Athletics,0,0,1
1870,penny oleksiak,CAN,Swimming,0,0,1
1871,penny oleksiak,CAN,Swimming,0,0,1
1872,jacob dawson,GBR,Rowing,0,0,1
1873,fei xu,CHN,Rowing,0,0,1
1874,kseniya sydorenko,UKR,Artistic Swimming,0,0,1
1875,abishag semberg,ISR,Taekwondo,0,0,1
1876,evelina georgieva nikolova,BUL,Wrestling,0,0,1
1877,jasmin kuelbs,GER,Judo,0,0,1
